pore_id,pore_volume_m3,pore_radius_m,pore_shape_factor,pore_clay_volume
453,4.822854e-14,1.299013e-05,0.02539777,0.0
454,5.540685e-14,1.312566e-05,0.04591298,0.0
455,4.094048e-14,1.293578e-05,0.03069724,0.0
456,3.382803e-14,1.253557e-05,0.02095269,0.0
457,5.854598e-14,1.306549e-05,0.0215972,0.0
458,2.79449e-14,1.254343e-05,0.01936909,0.0
459,1.582739e-14,1.25768e-05,0.02125943,0.0
460,5.270675e-14,1.232393e-05,0.02273915,0.0
461,6.846829e-14,1.298294e-05,0.02067885,0.0
462,3.575981e-14,1.230483e-05,0.02927678,0.0
463,3.330118e-14,1.266229e-05,0.03995904,0.0
464,3.565005e-14,1.299995e-05,0.0243913,0.0
465,3.674765e-14,1.206372e-05,0.02595618,0.0
466,4.192832e-14,1.267283e-05,0.03509833,0.0
467,2.599117e-14,1.308308e-05,0.02703285,0.0
468,3.810867e-14,1.180345e-05,0.03428856,0.0
469,1.093868e-13,1.263028e-05,0.03795934,0.0
470,3.84599e-14,1.250514e-05,0.04498459,0.0
471,3.468416e-14,1.215044e-05,0.03697258,0.0
472,5.367264e-14,1.307142e-05,0.03808261,0.0
473,8.144192e-14,1.279687e-05,0.02459661,0.0
474,3.808672e-14,1.255572e-05,0.03391775,0.0
475,5.782157e-14,1.276071e-05,0.05389324,0.0
476,2.397158e-14,1.289868e-05,0.04016089,0.0
477,2.546432e-14,1.227348e-05,0.03318452,0.0
478,3.479392e-14,1.230243e-05,0.04325194,0.0
479,3.154502e-14,1.363983e-05,0.03640618,0.0
480,1.804454e-14,1.306524e-05,0.05588461,0.0
481,7.584416e-14,1.594898e-05,0.05797152,0.0
482,2.083245e-14,1.201617e-05,0.04340947,0.0
483,2.225933e-14,1.321727e-05,0.04594138,0.0
484,1.385171e-14,1.148655e-05,0.02308404,0.0
485,5.248723e-14,1.204088e-05,0.05036061,0.0
486,2.340083e-14,1.22857e-05,0.04607099,0.0
487,3.648422e-14,1.201339e-05,0.05559625,0.0
488,2.941568e-14,1.228655e-05,0.03612089,0.0
489,2.711072e-14,1.108522e-05,0.04304838,0.0
